Price	Lot.Size	Waterfront	Age	Land.Value	New.Construct	Central.Air	Fuel.Type	Heat.Type	Sewer.Type	Living.Area	Pct.College	Bedrooms	Fireplaces	Bathrooms	Rooms	Test
92000	0.07	0	14	1800	0	0	Gas	Hot Air	Public	1480	52	3	1	1.5	8	0
82800	0.11	0	225	3900	0	0	Gas	Hot Air	Public	1483	52	3	0	1	7	0
140000	0.23	0	25	8300	0	1	Gas	Hot Air	Public	1576	52	4	1	1.5	5	0
171000	3.16	0	15	24100	0	0	Electric	Electric	Private	1008	52	2	0	1	7	0
200640	0.08	0	0	32000	1	0	Gas	Hot Air	Public	2332	52	4	0	2.5	9	0
139000	0.57	0	30	7500	0	0	Oil	Hot Air	Private	1064	52	3	1	1	5	0
225000	0.5	0	12	15300	0	1	Gas	Hot Air	Public	2428	52	4	1	2.5	11	1
182000	1	0	16	26600	0	0	Electric	Electric	Private	1310	52	3	1	2	7	1
208767	0.5	0	0	32000	1	1	Gas	Hot Air	Public	1662	52	3	0	2	7	0
186000	0.55	0	0	4400	1	0	Gas	Hot Air	Public	2000	52	4	0	2.5	7	0
93000	0.1	0	14	2600	0	0	Gas	Hot Air	Public	1480	52	3	1	1.5	6	1
257386	0.5	0	0	32000	1	1	Gas	Hot Air	Public	2969	52	4	1	4	10	0
161000	0.31	0	10	10400	0	1	Gas	Hot Air	Public	1542	52	3	0	2.5	5	1
92000	0.28	0	18	6300	0	0	Oil	Hot Air	Private	1527	52	4	0	2	7	1
211002	0.06	0	0	32000	1	0	Gas	Hot Air	Public	2195	52	4	0	2.5	8	1
115000	0.06	0	14	1600	0	0	Gas	Hot Air	Public	1480	52	3	1	1.5	6	0
113000	0.46	0	53	9200	0	1	Oil	Hot Water	Private	1452	52	3	0	2	7	0
216300	0.1	0	0	32000	1	0	Gas	Hot Air	Public	2360	52	4	0	2.5	10	0
145000	2.12	0	32	19000	0	0	Oil	Hot Air	Private	1440	52	3	1	1	8	0
114000	0.06	0	14	1600	0	0	Electric	Hot Air	Public	1480	52	2	1	2.5	5	0
139050	0.21	0	125	7300	0	0	Gas	Hot Air	Public	1879	52	3	0	2.5	6	0
104000	0.06	0	14	1600	0	0	Gas	Hot Air	Public	1480	52	3	0	1.5	6	1
169900	0.26	0	11	8700	0	0	Gas	Hot Air	Public	1792	52	3	0	2.5	8	0
177900	0.29	0	2	25000	0	0	Gas	Hot Air	Private	1386	44	3	0	2.5	5	0
133000	1.29	0	14	10300	0	1	Electric	Hot Air	Private	1676	44	2	1	2	3	0
185000	1	0	0	4000	0	0	Gas	Hot Air	Private	768	22	4	0	2	9	0
115000	0.88	0	16	10000	0	1	Electric	Electric	Private	1560	22	3	1	1.5	8	1
100000	0.52	0	91	5000	0	0	Oil	Hot Air	Private	1000	22	3	0	1	6	0
117000	0.07	0	15	18900	0	0	Electric	Electric	Private	1676	51	4	1	1.5	9	0
150000	0.32	0	11	19400	0	0	Electric	Electric	None/Unknown	1656	51	3	0	1.5	6	0
187500	0.92	0	11	20600	0	0	Electric	Electric	Private	2300	51	3	1	1.5	7	0
107000	0.46	0	25	18700	0	0	Gas	Hot Air	Private	1712	51	3	1	1	6	0
126900	0.46	0	26	18700	0	0	Gas	Hot Air	Private	1350	51	3	0	1.5	5	0
147000	0.11	0	15	18900	0	0	Gas	Hot Air	Private	1676	51	3	1	2.5	6	0
62000	0.4	0	103	10500	0	0	Gas	Hot Water	Private	1317	51	3	0	1.5	7	0
101000	0.87	0	30	8700	0	0	Gas	Hot Air	Private	1056	51	3	1	2	8	0
143500	0.59	0	13	19900	0	0	Gas	Hot Air	Private	912	51	3	0	1	7	0
113400	0.93	0	18	4500	0	0	Electric	Electric	Private	1232	44	2	0	2	3	1
76320	0.15	0	68	2000	0	0	Gas	Hot Air	Public	1380	44	3	1	1	5	1
110000	0.59	0	10	3100	0	1	Gas	Hot Air	Private	936	44	3	0	1	6	0
88000	0.33	0	49	3400	0	0	Gas	Hot Air	Private	720	44	3	0	1	4	0
108000	0.32	0	30	6500	0	0	Oil	Hot Water	Private	1628	44	2	1	1.5	4	0
114900	0.46	0	41	5000	0	0	Gas	Hot Air	Private	1144	44	3	0	1.5	6	1
146000	0.48	0	2	3000	0	0	Gas	Hot Air	Private	1827	44	3	0	2.5	9	0
225000	2.37	0	8	3300	0	0	Oil	Hot Water	Private	1784	44	3	1	2	6	0
138000	0.83	0	16	3700	0	1	Gas	Hot Air	Private	1851	44	3	1	2.5	8	0
218070	1	0	0	3500	1	0	Gas	Hot Water	Private	2194	44	4	0	2.5	8	0
25000	0.21	0	75	900	0	0	Oil	Hot Air	Private	920	44	2	0	1	6	0
112000	0.27	0	36	3800	0	0	Gas	Hot Water	Public	1280	44	3	0	1	5	0
112500	0.72	0	43	4600	0	0	Electric	Electric	Private	1232	44	3	1	1	5	1
97000	0.36	0	45	3600	0	0	Gas	Hot Water	Private	1406	44	3	0	1.5	6	0
121000	0.52	0	6	2500	0	0	Gas	Hot Air	Private	1164	44	3	0	2	5	1
65720	0.19	0	123	2100	0	0	Gas	Hot Water	Public	1198	44	3	0	1	5	0
225000	0.38	0	10	6600	0	1	Gas	Hot Air	Private	2206	44	4	1	2.5	8	1
192000	0.82	0	0	5000	1	1	Gas	Hot Air	Private	1880	44	3	1	2.5	9	0
158500	0.69	0	6	3400	0	0	Oil	Hot Air	Private	1368	44	3	0	1.5	8	0
247000	0.51	0	16	6000	0	1	Gas	Hot Air	Private	1901	44	3	1	2.5	5	1
193777	0.72	0	11	3200	0	0	Gas	Hot Air	Private	1547	44	3	0	2	8	0
136500	0.62	0	12	5400	0	0	Gas	Hot Air	Private	896	44	3	0	2	5	1
75000	1	0	45	8000	0	0	Gas	Hot Air	Private	1008	44	3	0	1	7	1
45000	0.52	0	75	3900	0	0	Gas	Hot Air	Private	912	44	2	0	1	4	0
243000	0.82	0	12	3700	0	0	Gas	Hot Air	Private	2443	44	3	0	2.5	6	0
90000	0.29	0	83	3900	0	0	Gas	Hot Air	Public	900	44	4	0	1	7	0
158000	0.52	0	0	4400	1	1	Gas	Hot Air	Private	2098	44	3	0	2	7	0
174000	0.64	0	9	3000	0	0	Gas	Hot Water	Private	2115	44	4	1	2.5	7	0
150000	0.52	0	12	4500	0	0	Gas	Hot Air	Private	1344	44	2	1	2	7	1
159650	1	0	3	5200	0	0	Gas	Hot Air	Private	1106	44	3	0	1	8	0
139062	0.69	0	33	6500	0	0	Gas	Hot Water	Private	1440	44	3	2	2	6	0
84950	0.13	0	0	15000	1	0	Gas	Hot Air	Public	840	51	2	0	1	3	0
102000	0.22	0	10	7300	0	0	Gas	Hot Air	Public	1170	51	2	0	1	6	0
175000	0.46	0	15	23400	0	0	Oil	Hot Air	Private	1664	51	4	0	1	5	0
78500	1	0	153	27300	0	0	Oil	Hot Air	Private	3024	51	4	0	1	12	0
232478	1	0	0	15900	0	0	Gas	Hot Air	None/Unknown	2598	51	4	1	2.5	9	0
93805	0.13	0	0	15000	1	0	Gas	Hot Air	Public	840	51	2	0	1.5	7	0
119900	1.03	0	63	41500	0	0	Oil	Hot Water	Private	1701	41	5	0	1	10	0
146000	1.17	0	33	41800	0	0	Oil	Hot Air	Private	1456	41	3	1	1.5	6	0
125000	0.34	0	44	19000	0	0	Oil	Hot Air	Private	1224	71	3	0	1	4	0
135000	0.38	0	48	21300	0	0	Gas	Hot Air	Private	1411	71	3	1	1	5	0
157500	1.96	0	29	39700	0	0	Oil	Hot Air	Private	1608	71	3	1	1.5	5	0
135000	3	0	178	44500	0	0	Oil	Hot Water	Private	3020	41	4	0	2.5	12	0
142900	0.33	0	32	22500	0	0	Gas	Hot Water	Public	1898	64	3	1	1.5	7	0
259900	0.46	0	1	36600	1	1	Gas	Hot Air	Public	2544	64	4	1	2.5	9	0
85000	0.29	0	16	22100	0	0	Electric	Electric	Public	1038	64	2	0	1	7	0
180377	0.35	0	1	37000	1	0	Gas	Hot Air	Public	1820	64	3	1	2.5	6	0
163500	0.28	0	21	28400	0	1	Electric	Electric	Public	2202	64	3	1	2	10	0
106500	0.52	0	53	20300	0	0	Oil	Hot Air	Private	2387	64	3	0	1	6	1
115000	0.11	0	16	20700	0	1	Electric	Electric	Public	1368	64	2	1	1.5	3	1
115000	0.14	0	16	21000	0	1	Electric	Electric	Public	1480	64	2	1	2	5	0
135000	0.14	0	15	19600	0	1	Electric	Electric	Public	1348	64	2	1	1.5	5	1
198900	0.47	0	7	25500	0	1	Gas	Hot Air	Public	1889	64	4	1	2.5	8	0
139000	0.14	0	16	19600	0	1	Electric	Electric	Public	1343	64	2	1	1.5	6	1
206000	0.51	0	15	39600	0	1	Gas	Hot Air	Public	2011	64	3	1	2.5	7	0
120000	0.21	0	15	28800	0	1	Gas	Hot Air	Public	1180	64	2	1	1.5	3	0
205980	0.14	0	1	45200	1	1	Gas	Hot Air	Public	1983	64	3	1	2.5	5	0
275000	0.55	0	14	72000	0	1	Gas	Hot Air	Public	2253	64	3	1	2.5	7	1
139000	0.07	0	12	24500	0	1	Gas	Hot Air	Public	1604	64	2	0	1.5	4	1
89900	0.49	0	83	11900	0	0	Gas	Hot Air	Private	1196	45	3	0	1	6	1
139900	0.07	0	13	24500	0	1	Gas	Hot Air	Public	1602	64	2	0	2.5	7	0
172750	0.36	0	1	37100	1	0	Gas	Hot Air	Public	1747	64	3	0	2.5	5	1
136000	0.5	0	37	19800	0	0	Oil	Hot Water	Private	1092	64	3	0	1	5	0
270000	0.48	0	10	37800	0	1	Gas	Hot Air	Public	2410	64	4	1	2.5	11	1
174000	0.29	0	14	31100	0	1	Gas	Hot Air	Public	1933	64	3	1	2.5	6	0
379000	0.68	0	9	57200	0	1	Gas	Hot Air	Public	3080	64	4	1	2.5	12	0
382500	4.08	0	13	75500	0	1	Oil	Hot Air	Private	4534	64	6	2	2.5	12	0
144900	0.1	0	14	26000	0	1	Gas	Hot Air	Public	1677	64	3	1	2.5	5	1
349900	0.62	0	7	57800	0	1	Gas	Hot Air	Public	2900	64	4	1	2.5	11	0
133000	0.07	0	16	20300	0	1	Electric	Electric	Public	1392	64	2	1	1.5	5	0
115000	0.16	0	15	22400	0	0	Gas	Hot Air	Public	1058	64	2	1	1.5	7	0
211950	0.36	0	1	29200	1	1	Gas	Hot Air	Public	2342	64	4	1	2.5	8	1
227812	0.01	0	0	37200	1	1	Gas	Hot Air	Public	2206	64	4	1	2.5	10	1
164400	0.34	0	1	36200	1	1	Gas	Hot Air	Public	1516	64	3	1	2	5	0
340000	0.75	0	12	82500	0	1	Gas	Hot Air	Public	2836	64	4	1	2.5	10	1
139900	0.29	0	15	35200	0	1	Gas	Hot Air	Public	1256	64	2	0	1.5	7	0
279900	0.47	0	6	20000	0	1	Gas	Hot Air	Public	2340	64	4	1	3.5	10	0
225000	0.32	0	0	53900	1	1	Gas	Hot Air	Public	2129	64	4	1	2.5	9	0
144500	0.12	0	15	16800	0	1	Gas	Hot Air	Public	1343	64	2	1	2.5	4	0
362710	1	0	0	24300	1	1	Gas	Hot Air	Private	2963	64	4	1	2.5	10	0
247000	0.46	0	13	36600	0	1	Gas	Hot Air	Public	2114	64	4	1	3.5	8	0
120000	0.18	0	16	21400	0	1	Electric	Electric	Public	1144	64	2	1	1	7	0
136000	0.55	0	33	14900	0	0	Oil	Hot Air	Private	988	64	3	1	1	7	0
228500	0.46	0	9	45800	0	0	Gas	Hot Air	Public	1475	64	3	0	2	4	0
162800	0.15	0	10	28500	0	0	Gas	Hot Air	Public	1247	64	3	0	1.5	7	1
230000	0.93	0	48	23500	0	0	Gas	Hot Water	Private	1912	64	5	1	2	10	1
115800	0.46	0	23	19700	0	0	Oil	Hot Air	Private	1440	64	3	0	1.5	5	0
175000	0.26	0	16	30100	0	1	Gas	Hot Air	Public	1596	64	3	1	2	6	1
263008	0.63	0	0	24400	1	1	Gas	Hot Air	Public	2665	64	4	1	2.5	11	0
146000	0.5	0	35	28000	0	0	Gas	Hot Water	Private	1984	64	3	0	1.5	8	1
204900	0.03	0	10	35800	0	1	Gas	Hot Air	Public	1616	64	3	0	2	6	1
265000	0.17	0	9	40500	0	0	Gas	Hot Air	Public	1917	64	3	1	2.5	5	0
167500	0.64	0	37	16400	0	0	Oil	Hot Water	Private	2592	64	3	1	1.5	9	0
205000	0.47	0	6	25500	0	0	Gas	Hot Air	Public	1845	64	3	1	2.5	9	0
170000	0.92	0	53	29000	0	1	Oil	Hot Air	Private	1360	57	4	0	1	9	1
176000	0.41	0	35	26200	0	1	Gas	Hot Air	Public	1664	64	3	1	1.5	6	0
132000	0.16	0	15	22400	0	1	Gas	Hot Air	Public	1098	64	2	1	1.5	3	0
115500	0.01	0	17	9900	0	0	Electric	Electric	Public	1214	64	2	0	1.5	4	1
150000	0.29	0	93	9200	0	0	Electric	Electric	Private	1046	57	3	0	1	6	1
120000	0.36	0	103	32200	0	0	Oil	Hot Air	Private	1144	64	3	0	1	8	0
125000	0.28	0	16	22000	0	1	Gas	Hot Air	Public	1140	64	2	1	2	6	1
150000	0.15	0	14	21000	0	0	Gas	Hot Air	Public	1232	64	2	1	1.5	5	0
362360	0.59	0	0	153800	1	1	Gas	Hot Air	Public	3020	64	4	1	2.5	9	0
133500	0.36	0	19	27000	0	0	Gas	Hot Air	Public	1508	52	3	1	2	6	0
91000	0.16	0	19	15700	0	0	Electric	Electric	Public	912	52	2	1	1.5	5	0
104000	0.34	0	18	27000	0	0	Electric	Electric	Public	1508	52	3	0	1.5	4	0
148000	0.33	0	17	27000	0	0	Gas	Hot Air	Public	1561	52	3	1	1.5	6	0
182000	0.56	0	30	26400	0	0	Gas	Hot Water	Public	2625	64	4	1	2.5	8	0
152500	0.48	0	30	19600	0	0	Gas	Hot Water	Public	936	52	3	1	1	7	1
97000	0.16	0	19	15700	0	0	Electric	Electric	Public	912	52	2	0	1.5	3	0
113000	0.17	0	16	15100	0	0	Electric	Electric	Public	1492	52	3	0	2.5	8	1
172000	0.46	0	30	26300	0	0	Gas	Hot Water	Public	1599	64	4	1	2.5	5	0
179900	0.81	0	25	25000	0	0	Electric	Electric	Private	2304	52	5	1	2.5	9	0
84000	0.15	0	19	15700	0	0	Electric	Electric	Public	912	52	2	0	1.5	7	0
117900	0.15	0	17	15100	0	1	Gas	Hot Air	Public	1385	52	2	1	1.5	7	0
177000	0.32	0	17	27000	0	0	Electric	Electric	Public	1561	52	4	0	1.5	8	0
107500	0.16	0	20	15700	0	0	Gas	Hot Water	Public	884	52	2	0	2	3	0
92500	0.15	0	18	15700	0	0	Electric	Electric	Public	912	52	2	0	2	4	0
102900	0.15	0	17	15700	0	0	Gas	Electric	Public	912	52	2	0	1.5	3	0
134800	0.48	0	73	20500	0	0	Oil	Hot Air	Private	1384	52	3	0	2	5	0
150000	0.77	0	7	30000	0	0	Gas	Hot Air	Public	1334	52	3	0	1.5	4	1
165000	0.42	0	10	26200	0	1	Gas	Hot Air	Private	1433	64	3	1	2	5	0
120000	0.17	0	16	15100	0	0	Electric	Electric	Public	1492	52	3	1	2.5	6	0
177500	0.32	0	16	27000	0	1	Gas	Hot Air	Public	1561	52	4	1	1.5	9	0
300000	0.09	1	11	32000	0	0	Electric	Electric	Public	936	52	1	0	1	3	1
123500	0.16	0	16	15100	0	0	Electric	Electric	Public	1492	52	3	1	2.5	8	0
141000	0.16	0	18	15100	0	0	Electric	Electric	Public	1853	52	3	0	2.5	7	0
105400	0.15	0	15	15100	0	0	Electric	Electric	Public	1240	52	2	0	1.5	7	0
100600	0.17	0	19	15800	0	0	Electric	Electric	Public	912	52	2	0	1.5	6	1
108900	0.17	0	19	15800	0	0	Gas	Hot Air	Public	912	52	2	0	1.5	3	1
105500	0.16	0	19	15700	0	0	Gas	Hot Water	Public	912	52	2	0	1.5	6	0
109900	0.16	0	19	15100	0	0	Gas	Hot Water	Public	1184	52	3	0	1.5	8	0
172700	0.34	0	18	27000	0	0	Electric	Electric	Public	1638	52	3	1	2	6	0
166500	0.31	0	16	27000	0	0	Electric	Electric	Public	1508	52	3	1	2	6	0
105000	0.4	0	50	18000	0	0	Electric	Electric	Public	672	52	2	0	1	5	0
490000	0.34	1	18	79700	0	0	Oil	Hot Air	Public	1346	52	3	1	2	6	0
120000	0.16	0	18	15100	0	0	Electric	Electric	Public	1184	52	3	0	2	5	1
107500	0.15	0	16	15700	0	0	Gas	Hot Air	Public	912	52	2	0	1.5	4	0
116600	0.15	0	18	15700	0	0	Electric	Electric	Public	912	52	2	1	1.5	5	0
65000	0.16	0	19	15700	0	0	Gas	Hot Air	Public	988	52	2	0	2	4	0
118000	0.16	0	19	15100	0	0	Gas	Hot Air	Public	1184	52	3	0	2	6	0
115900	0.15	0	16	15100	0	0	Electric	Electric	Public	1385	52	2	0	1.5	4	0
100000	0.15	0	18	15700	0	0	Gas	Hot Water	Public	912	52	2	0	1.5	3	0
171000	0.37	0	18	27000	0	1	Gas	Hot Air	Public	1548	52	3	1	2	5	0
188000	0.31	0	17	27000	0	0	Electric	Electric	Public	1561	52	4	0	1.5	9	0
140000	1	0	24	21000	0	1	Gas	Hot Air	Private	1008	52	2	0	1	3	0
124500	0.15	0	17	15200	0	0	Electric	Electric	Public	1385	52	2	0	1.5	4	1
107200	0.16	0	19	15700	0	0	Gas	Hot Air	Public	908	52	2	0	1	6	0
107500	0.24	0	138	1400	0	0	Oil	Hot Water	Public	2246	39	4	0	1.5	9	0
180000	2.06	0	16	5900	0	0	Gas	Hot Air	Private	1820	39	3	1	2.5	5	0
214325	0.42	0	0	13000	1	1	Gas	Hot Air	Public	2554	64	4	1	2.5	9	1
128850	0.92	0	16	5500	0	0	Electric	Electric	Private	824	45	3	0	1.5	5	0
208700	0.4	0	0	15000	0	0	Gas	Hot Air	Public	2458	64	4	1	2.5	9	0
139900	0.36	0	22	10500	0	0	Electric	Electric	Public	1324	64	3	0	1	4	0
350000	5.84	0	12	20000	0	1	Gas	Hot Air	Public	2916	64	3	1	2.5	9	0
108000	0.16	0	19	15100	0	0	Electric	Electric	Public	1032	52	2	0	1.5	4	0
115500	0.15	0	16	15700	0	0	Electric	Electric	Public	912	52	2	1	1.5	4	0
135000	0.98	0	35	19600	0	0	Electric	Electric	Private	1320	52	2	0	1	3	1
135000	0.33	0	17	27000	0	0	Gas	Hot Air	Public	1508	52	3	1	1.5	8	0
107400	0.16	0	16	15700	0	0	Electric	Electric	Public	912	52	2	1	1.5	7	1
233000	0.09	0	12	31200	0	1	Gas	Hot Air	Private	2040	52	4	1	2.5	7	0
105000	0.16	0	17	15700	0	0	Electric	Electric	Public	912	52	2	1	1.5	5	0
335000	3	0	10	53600	0	1	Oil	Hot Air	Public	1776	52	2	0	2	6	0
139000	0.58	0	25	25000	0	0	Electric	Electric	Public	1304	64	3	0	2	8	0
209500	0.42	0	10	26200	0	1	Gas	Hot Air	Private	1836	64	4	1	2.5	8	0
101000	0.17	0	18	15800	0	0	Electric	Electric	Public	912	52	2	0	2	3	1
77500	0.16	0	19	15700	0	0	Electric	Electric	Public	912	52	2	0	1.5	6	0
150500	0.31	0	16	27000	0	0	Electric	Electric	Public	1527	52	2	1	2	7	0
167000	0.99	0	17	5700	0	0	Electric	Electric	Private	1454	39	3	0	1.5	7	1
114000	0.26	0	26	4600	0	0	Oil	Hot Water	Public	1700	39	3	1	1.5	4	1
160000	0.45	0	27	7000	0	0	Electric	Electric	Public	1680	45	4	0	1	9	0
85000	0.49	0	0	13000	0	1	Gas	Hot Air	Public	2401	64	4	1	2.5	10	0
143000	0.35	0	21	11000	0	0	Electric	Electric	Public	1176	64	3	0	1	7	0
126000	0.4	0	24	9800	0	0	Electric	Electric	Public	1344	64	3	1	1.5	7	0
140000	0.48	0	23	10400	0	0	Electric	Electric	Public	1344	64	3	0	1.5	8	0
140000	0.35	0	9	13000	0	0	Gas	Hot Water	Private	1714	64	3	0	2.5	8	0
205000	0.25	0	20	29000	0	0	Gas	Hot Air	Public	1992	64	4	1	3	9	0
79900	0.12	0	19	18200	0	1	Gas	Hot Air	Public	924	64	2	0	1	7	0
139000	0.09	0	24	17600	0	1	Gas	Hot Air	Public	1290	64	2	1	1.5	3	0
190000	0.46	0	36	27400	0	0	Gas	Hot Water	Public	2521	64	4	1	2.5	10	0
151500	0.71	0	58	22700	0	0	Oil	Hot Water	Public	1377	82	3	1	1.5	7	0
97500	0.06	0	19	16400	0	1	Gas	Hot Air	Public	1237	64	2	1	1.5	6	0
194500	0.61	0	41	32300	0	1	Gas	Hot Water	Public	2310	64	4	1	2.5	7	0
195160	0.32	0	0	35000	0	0	Gas	Hot Air	Public	1863	64	3	1	2.5	9	0
152500	0.37	0	26	37500	0	1	Gas	Hot Air	Public	1693	64	3	1	1.5	8	0
159500	0.29	0	26	31400	0	1	Gas	Hot Air	Public	1684	64	3	1	2.5	4	0
185000	0.95	0	16	40900	0	1	Electric	Electric	Public	1585	64	3	1	1.5	4	0
240000	0.67	0	8	72400	0	1	Gas	Hot Air	Public	2290	64	4	1	3	9	0
187900	0.4	0	32	30000	0	1	Gas	Hot Air	Public	2464	64	5	1	2.5	9	1
262000	0.29	0	5	29000	0	1	Gas	Hot Air	Public	2549	64	4	1	2.5	12	0
212500	0.35	0	6	36500	0	1	Gas	Hot Air	Public	2316	64	4	1	2.5	7	1
220000	0.37	0	18	43000	0	1	Gas	Hot Air	Private	2600	64	4	1	2.5	8	1
245000	0.53	0	15	65800	0	1	Gas	Hot Air	Public	2677	64	4	1	2.5	10	0
120000	0.06	0	19	16400	0	1	Electric	Electric	Public	1479	64	3	0	1.5	4	0
102500	0.15	0	16	18500	0	1	Electric	Electric	Public	1138	64	2	0	1	7	0
136000	0.27	0	24	18900	0	0	Gas	Hot Water	Public	1576	64	3	0	2.5	4	0
212500	0.43	0	10	52200	0	1	Gas	Hot Air	Public	2084	82	4	1	2.5	9	0
205900	0.06	0	26	35900	0	1	Gas	Hot Air	Public	1726	64	3	1	2	8	0
